model,step,loss,accuracy,gate_rate
tgn,0,5.029502868652344,0.0,0.5007070899009705
tgn,50,4.175048351287842,0.09375,0.5013805627822876
tgn,100,3.4755237102508545,0.21875,0.5382696986198425
tgn,150,1.2004481554031372,0.75,0.5551548004150391
tgn,200,0.10045252740383148,0.9375,0.5381681323051453
tgn,250,0.08032230287790298,0.96875,0.5531257390975952
tgn,300,0.0020721228793263435,1.0,0.5648199915885925
tgn,350,0.007145463023334742,1.0,0.5662064552307129
tgn,400,0.0024009922053664923,1.0,0.5725404024124146
tgn,450,0.008845037780702114,1.0,0.5800362825393677
tgn,500,0.0009365687728859484,1.0,0.570906400680542
tgn,550,0.0011779582127928734,1.0,0.575478732585907
tgn,600,0.0007584546110592782,1.0,0.5725432634353638
tgn,650,0.001066903816536069,1.0,0.5724062919616699
tgn,700,0.0013314189855009317,1.0,0.5738935470581055
tgn,750,0.002032260410487652,1.0,0.5691629648208618
tgn,800,0.0009513561963103712,1.0,0.568711519241333
tgn,850,0.00093885138630867,1.0,0.5717605352401733
tgn,900,0.0013039258774369955,1.0,0.5703245401382446
tgn,950,0.0010886816307902336,1.0,0.5721217393875122
tgn,1000,5.224453926086426,0.03125,0.563558042049408
tgn,1050,2.2344987392425537,0.40625,0.6392649412155151
tgn,1100,1.9432907104492188,0.40625,0.6166328191757202
tgn,1150,1.3165916204452515,0.53125,0.663950502872467
tgn,1200,1.7034484148025513,0.46875,0.682843029499054
tgn,1250,1.6316744089126587,0.53125,0.723205029964447
tgn,1300,1.50839364528656,0.34375,0.68970787525177
tgn,1350,1.94986891746521,0.40625,0.7196750044822693
tgn,1400,1.2635632753372192,0.46875,0.672673761844635
tgn,1450,1.1225310564041138,0.59375,0.6778419017791748
tgn,1500,0.951119601726532,0.6875,0.7095308899879456
tgn,1550,0.8927376866340637,0.625,0.6943454742431641
tgn,1600,1.2254364490509033,0.46875,0.6826198101043701
tgn,1650,0.9763059616088867,0.59375,0.6784895658493042
tgn,1700,0.9874248504638672,0.5,0.672082781791687
tgn,1750,1.5431030988693237,0.40625,0.7010828852653503
tgn,1800,1.1932532787322998,0.5,0.7190030813217163
tgn,1850,1.0841073989868164,0.59375,0.7127522230148315
tgn,1900,1.088665246963501,0.5625,0.7133615016937256
tgn,1950,0.768859326839447,0.6875,0.7190806865692139
tgn,2000,0.963371992111206,0.6875,0.7220112681388855
tgn,2050,0.9739023447036743,0.59375,0.6881197094917297
tgn,2100,0.4744824171066284,0.78125,0.6798422336578369
tgn,2150,0.602029025554657,0.6875,0.6688744425773621
tgn,2200,0.7307081818580627,0.78125,0.6608251333236694
tgn,2250,0.7545433640480042,0.78125,0.6491737365722656
tgn,2300,0.40967699885368347,0.90625,0.6733278632164001
tgn,2350,0.34028124809265137,0.84375,0.6884471774101257
tgn,2400,0.3224926292896271,0.875,0.6632182598114014
tgn,2450,0.5063058733940125,0.84375,0.6660216450691223
tgn,2500,0.3598346710205078,0.875,0.6666967272758484
tgn,2550,0.29985010623931885,0.875,0.6751393675804138
tgn,2600,0.404898464679718,0.875,0.6753531694412231
tgn,2650,0.5108902454376221,0.90625,0.6865634918212891
tgn,2700,0.0567014180123806,1.0,0.6950072050094604
tgn,2750,0.18676510453224182,0.90625,0.6801164150238037
tgn,2800,0.23038937151432037,0.90625,0.660325288772583
tgn,2850,0.13992974162101746,0.9375,0.6685242056846619
tgn,2900,0.07762542366981506,0.96875,0.6809360980987549
tgn,2950,0.0489509291946888,0.96875,0.6662676334381104
tgn,3000,5.268244743347168,0.1875,0.6396267414093018
tgn,3050,0.44386425614356995,0.875,0.7726378440856934
tgn,3100,0.8183468580245972,0.6875,0.7705156803131104
tgn,3150,0.2879948616027832,0.90625,0.7749646902084351
tgn,3200,0.19701330363750458,0.9375,0.7692824602127075
tgn,3250,0.3426953852176666,0.9375,0.7561435699462891
tgn,3300,0.08801215142011642,0.96875,0.772596001625061
tgn,3350,0.2804548144340515,0.90625,0.7649345397949219
tgn,3400,0.3246615529060364,0.90625,0.7716427445411682
tgn,3450,0.10002589225769043,1.0,0.7701289057731628
tgn,3500,0.17795772850513458,0.96875,0.7629878520965576
tgn,3550,0.03963274881243706,1.0,0.7609379291534424
tgn,3600,0.12293748557567596,0.96875,0.7579147815704346
tgn,3650,0.12375804036855698,0.96875,0.7550048232078552
tgn,3700,0.1657971739768982,0.90625,0.7541492581367493
tgn,3750,0.09908825904130936,0.9375,0.753635048866272
tgn,3800,0.06405274569988251,0.96875,0.7552241683006287
tgn,3850,0.11734922230243683,0.9375,0.7538597583770752
tgn,3900,0.1510552614927292,0.96875,0.7558180093765259
tgn,3950,0.4586040675640106,0.875,0.7504602074623108
tgn,4000,0.19787387549877167,0.9375,0.7560322284698486
tgn,4050,0.023600932210683823,1.0,0.7396516799926758
tgn,4100,0.043379172682762146,0.96875,0.7420305013656616
tgn,4150,0.04818097874522209,1.0,0.7347797155380249
tgn,4200,0.007551445625722408,1.0,0.7352982759475708
tgn,4250,0.026680637151002884,1.0,0.7339199185371399
tgn,4300,0.030930090695619583,1.0,0.7306956052780151
tgn,4350,0.21349336206912994,0.9375,0.722046971321106
tgn,4400,0.03395186737179756,1.0,0.7250451445579529
tgn,4450,0.09079570323228836,0.96875,0.7208418846130371
tgn,4500,0.005297812167555094,1.0,0.7131593227386475
tgn,4550,0.007630046457052231,1.0,0.7127885222434998
tgn,4600,0.019390109926462173,1.0,0.692572295665741
tgn,4650,0.005023350473493338,1.0,0.6853280663490295
tgn,4700,0.15487822890281677,0.96875,0.6739939451217651
tgn,4750,0.0024759958032518625,1.0,0.6837875843048096
tgn,4800,0.0066324807703495026,1.0,0.6847636699676514
tgn,4850,0.00704761641100049,1.0,0.6841940879821777
tgn,4900,0.010039187967777252,1.0,0.6517935991287231
tgn,4950,0.004368326161056757,1.0,0.631682276725769
transformer,0,4.806486129760742,0.0,0
